code,name_of_the_station,uf,january,february,march,april,may,june,july,august,september,october,november,december,year,longitude,latitude
83738,RESENDE,RJ,292.9,216.9,232.5,85.9,47.6,22.9,28.7,20.9,70.7,125.4,213,260.8,1618.2,-44.44444444,-22.45111111
83048,RIO BONITO,RJ,205.6,164,194.4,123,82.7,40.9,68.4,55.1,89.2,113.6,225.4,210.3,1572.6,-42.64666666,-22.7125
83789,SANTA CRUZ,RJ,143.8,100.1,110.6,101.3,67.7,48,52.2,36.7,71.4,76.7,92.8,138.9,1040.2,-43.68694444,-22.92222221
83696,SANTA MARIA MADALENA,RJ,245.6,134.7,165.9,87.6,60,43.4,45.9,42.6,93.1,113.6,195,262.9,1490.3,-42.01111111,-21.96
83052,SANTA MONICA (VALENCA),RJ,247.9,154.2,138.1,59.2,49.1,20.9,21.7,17.1,61.2,97.9,156.3,207.8,1231.4,-43.7,-22.35
83805,SANTO ANTONIO DE PADUA,RJ,222.8,113.2,118.4,65.9,26.6,18.2,18.2,25,65.8,109.4,187.7,267.6,1238.8,-42.16083333,-21.53722222
82590,APODI,RN,99.3,117,172.3,212.7,102.6,49.4,31.2,22.2,2.1,0.9,3.2,16.7,829.6,-37.81666666,-5.61666666
82596,CEARA MIRIM,RN,89.2,88.9,185.5,200.5,182.2,229.3,169.6,83.9,32.5,13.7,19.5,19.8,1314.6,-35.65,-5.65
82693,CRUZETA,RN,83.2,98.7,149.6,154.8,71.6,38.1,16.6,11.6,3.9,4.2,5.4,29.6,667.3,-36.58333333,-6.43333333
82691,FLORANIA,RN,82.6,102.6,171.5,169.8,81.7,38.7,21.8,9.3,1.7,5,4.6,24.1,713.4,-36.81666666,-6.11666666
82594,MACAU,RN,44.6,58.6,126.5,135.9,73.2,34.6,22.9,10.4,2.2,0.9,2.2,6.4,518.4,-36.76666666,-5.11666666
82591,MOSSORO,RN,95.5,98.5,221.3,202.4,101.1,52.7,36.5,7.2,1.8,2.4,1.7,14.3,835.4,-37.3,-5.2
82598,"NATAL",RN,61.1,94.4,203.3,272.2,236.2,353.6,242.2,134.7,47.7,22.1,28.4,25.5,1721.4,-35.2,-5.91666666
82690,SERIDO (CAICO),RN,96.9,91.3,144.6,147.5,73.3,23.6,11.6,8.1,0.7,9.2,2.7,20,629.5,-37.08333333,-6.46666666
82024,BOA VISTA,RR,37,30,35.7,142.2,321,353.2,286.4,205.2,103.9,73.1,60.1,63.8,1711.6,-60.65,2.81666666
82042,CARACARAI,RR,64.9,50.9,93.4,196.1,321.1,336.1,296.1,216.7,150.7,100.8,89.6,84.7,2001.1,-61.13333333,1.83333333
83980,BAGE,RS,125,130.7,102.6,161.3,150.8,131.7,132.3,106.3,111.1,129.7,118.9,113.2,1513.6,-54.1,-31.33333333
83941,BENTO GONCALVES,RS,162.1,151.7,117.8,124.3,130.3,144.4,188.5,148.9,161.3,185.6,138.4,128.6,1781.9,-51.51666666,-29.15
83919,BOM JESUS,RS,168.7,167.1,107.7,112.2,111.9,123.8,171.9,132.1,156.7,165.1,139.9,147.8,1704.9,-50.43333333,-28.66666666
83946,CAMBARA DO SUL,RS,166.2,192.4,168.2,113.8,141.2,108.7,153.7,147.4,192.4,159.4,155.2,124.8,1823.4,-50.13333333,-29.05
83961,CAMPO BOM,RS,139.5,130.7,113.7,121.5,110.7,132.6,149.4,131.9,168,154.2,115.5,114.5,1582.2,-51.05,-29.68333333
83942,CAXIAS DO SUL,RS,158.5,154.9,111.3,120.4,140.9,156,189.4,145.1,163.1,178.7,143.9,140.5,1802.7,-51.18638888,-29.19638888
83912,CRUZ ALTA,RS,146.8,143,119.7,158.9,156.8,152.4,164.6,130.6,160.4,248.1,163.7,153.4,1898.4,-53.6,-28.63333333
83964,ENCRUZILHADA DO SUL,RS,145,131.7,98.1,134.2,143.8,152.6,172.8,121.8,158.8,156.5,127,126.3,1668.6,-52.51666666,-30.53333333
83932,IBIRUBA,RS,152.8,162.4,112.1,155.8,116.7,127.6,166.1,144.6,166.7,219.3,153.6,132.4,1810.1,-53.11666666,-28.65
83881,IRAI,RS,162.2,187.3,120.1,157.6,163.2,159.1,144.5,129.6,175.5,240.7,152,160.2,1952,-53.23333333,-27.18333333
83916,LAGOA VERMELHA,RS,133.7,130.9,118.1,119.2,133.7,133.1,130.8,128.5,191.4,198.2,156.5,114,1688.1,-51.5,-28.21666666
83914,PASSO FUNDO,RS,159.7,140.9,121.5,138.9,159.4,148,180.9,137.9,174.3,225,158.8,162.2,1907.5,-52.4,-28.21666666
83985,PELOTAS,RS,109.8,187.8,107.6,106.6,129.1,114.8,99.6,126.5,122.9,87.1,102.3,108.6,1402.7,-52.41666666,-31.78333333
83967,PORTO ALEGRE,RS,110.1,106.5,92.2,107.3,118.8,141.3,141.3,117.4,141.5,138.3,110.9,99.6,1425.2,-51.21666666,-30.01666666
83995,RIO GRANDE,RS,98.9,128.6,90.9,118.4,114.6,114,125.7,122.1,113.6,98.1,95.5,86.2,1306.6,-52.16749999,-32.0786111
83936,SANTA MARIA,RS,166.3,139.6,127.7,170.1,154.4,149.1,159,111.2,158.5,173.3,132.7,154.3,1796.2,-53.7,-29.7
83997,SANTA VITORIA DO PALMAR,RS,83.2,153.6,121.1,120.9,124.8,114.6,114.7,103.4,88.5,78.7,79.2,85.2,1267.9,-53.35,-33.51666666
83953,SANTANA DO LIVRAMENTO,RS,94.2,170.9,122.5,138.8,144.3,115.1,108.4,98.9,144.4,129.6,123.9,127.3,1518.3,-55.6,-30.83333333
83907,SAO LUIZ GONZAGA,RS,143.5,164.6,139.8,201.5,165.8,139.6,130.8,102.1,152.5,249.9,161.6,161.2,1912.9,-55.01666666,-28.4
83972,TEUTONIA,RS,143.9,133.2,126.8,102.9,135.5,109.7,152.9,138.2,182.5,197,145.8,125.2,1693.6,-51.8,-29.45
83948,TORRES,RS,156.3,164,142.9,102.9,116.5,102.8,111.9,134.8,132.4,127.9,119.4,95.3,1507.1,-49.73305554,-29.35027777
83954,TRIUNFO,RS,114.1,112.7,103.1,104.6,109.1,145.5,147.7,125.8,154.9,152.2,120.3,117.3,1507.3,-51.38333333,-29.86666666
83927,URUGUAIANA,RS,116.5,156.7,158,150.8,123.9,88.9,63.6,47.8,85.5,164.7,124.3,126.8,1407.5,-57.08333333,-29.75
83887,CAMPOS NOVOS,SC,208.6,175.4,137.4,167,172.5,139.4,201,133.9,195.7,242.9,155.4,164.4,2093.6,-51.20083333,-27.384166660000002
83883,CHAPECO,SC,177.6,210.1,131.9,172.1,174.1,159.1,191.4,141.9,194.2,246.9,157.2,168.1,2124.6,-52.63555555,-27.08527777
83897,FLORIANOPOLIS,SC,250.6,201.6,179.7,123.5,132.5,75.7,118,74,141,148.9,150.6,172.5,1768.6,-48.62027777,-27.6025
83872,INDAIAL,SC,243.3,179.2,126.6,109.1,105.8,106.3,125.4,90.6,161.3,167.4,156.4,165.6,1737,-49.21666666,-26.9
83891,LAGES,SC,163,158,120,111.8,126,111.4,181.5,117.5,157.3,191.4,136,133.7,1707.6,-50.33555555,-27.80222222
